Entity,Code,Year,"Threshold (Poorest decile, 2017 prices) - Income or consumption consolidated",1039312-annotations,"Threshold (Richest decile, 2017 prices) - Income or consumption consolidated",1039320-annotations,Population (historical),World regions according to OWID,time,time,time,time
Albania,ALB,2022,6.1324673,,24.124557,,2827562,Europe,2022,2023,2020,2020
Angola,AGO,2022,1.0746211,,10.726535,,35634984,Africa,2022,2023,2018,2018
Armenia,ARM,2022,3.6478412,,12.352581,,2880829,Asia,2022,2023,2022,2022
Australia,AUS,2022,24.849173,,112.45976,,26200929,Oceania,2022,2023,2018,2018
Austria,AUT,2022,27.690018,,109.55219,,9064633,Europe,2022,2023,2021,2021
Bangladesh,BGD,2022,2.5311422,,10.261564,,169384838,Asia,2022,2023,2022,2022
Belarus,BLR,2022,10.232832,,29.772608,,9173190,Europe,2022,2023,2020,2020
Belgium,BEL,2022,29.255215,,95.44205,,11641759,Europe,2022,2023,2021,2021
Benin,BEN,2022,1.9738088,,8.917139,,13759458,Africa,2022,2023,2021,2021
Bhutan,BTN,2022,7.2113876,,26.217503,,780868,Asia,2022,2023,2022,2022
Bolivia,BOL,2022,5.517209,,38.34417,,12077101,South America,2022,2023,2021,2021
Brazil,BRA,2022,4.049662,,43.253197,,210306358,South America,2022,2023,2022,2022
Bulgaria,BGR,2022,10.025347,,56.922733,,6825817,Europe,2022,2023,2021,2021
Burkina Faso,BFA,2022,1.5468074,,7.5222816,,22508995,Africa,2022,2023,2021,2021
Burundi,BDI,2022,0.8543756,,4.218773,,13321056,Africa,2022,2023,2020,2020
Cameroon,CMR,2022,1.4901695,,10.726825,,27632723,Africa,2022,2023,2021,2021
Canada,CAN,2022,26.400434,,111.64995,,38821209,North America,2022,2023,2019,2019
Central African Republic,CAF,2022,0.64503914,,4.3874135,,5097987,Africa,2022,2023,2021,2021
Chad,TCD,2022,1.4040484,,7.2099185,,18455270,Africa,2022,2023,2022,2022
Chile,CHL,2022,8.85979,,54.887653,,19552984,South America,2022,2023,2022,2022
China,CHN,2022,5.7440944,,27.720087,,1425179509,Asia,2022,2023,2021,2021
Colombia,COL,2022,2.9352355,,36.171135,,51737891,South America,2022,2023,2022,2022
Costa Rica,CRI,2022,5.853575,,51.512714,,5081715,North America,2022,2023,2022,2022
Cote d'Ivoire,CIV,2022,2.1618388,,10.042197,,30394949,Africa,2022,2023,2021,2021
Croatia,HRV,2022,13.943787,,53.620903,,3906988,Europe,2022,2023,2021,2021
Cyprus,CYP,2022,24.299053,,90.63125,,1331324,Europe,2022,2023,2021,2021
Czechia,CZE,2022,21.69188,,67.20109,,10673169,Europe,2022,2023,2021,2021
Democratic Republic of Congo,COD,2022,0.4896426,,3.309952,,102396919,Africa,2022,2023,2020,2020
Denmark,DNK,2022,31.859173,,103.05438,,5902846,Europe,2022,2023,2021,2021
Djibouti,DJI,2022,1.5540572,,10.140244,,1137052,Africa,2022,2023,2017,2017
Dominican Republic,DOM,2022,4.993235,,26.054932,,11230686,North America,2022,2023,2022,2022
Ecuador,ECU,2022,3.8379998,,30.983639,,17823857,South America,2022,2023,2022,2022
Egypt,EGY,2022,3.1586225,,10.939462,,112618191,Africa,2022,2023,2019,2019
El Salvador,SLV,2022,3.9311993,,24.750977,,6280269,North America,2022,2023,2022,2022
Estonia,EST,2022,21.146164,,88.99733,,1350038,Europe,2022,2023,2021,2021
Fiji,FJI,2022,3.3672152,,13.878078,,919378,Oceania,2022,2023,2019,2019
Finland,FIN,2022,28.90835,,95.21964,,5569254,Europe,2022,2023,2021,2021
France,FRA,2022,22.751316,,93.97595,,66277365,Europe,2022,2023,2021,2021
Gabon,GAB,2022,3.9113483,,23.825977,,2430702,Africa,2022,2023,2017,2017
Gambia,GMB,2022,1.7392391,,9.240876,,2636423,Africa,2022,2023,2020,2020
Georgia,GEO,2022,3.1246471,,14.732074,,3794728,Asia,2022,2023,2022,2022
Germany,DEU,2022,28.054615,,117.8201,,84086176,Europe,2022,2023,2020,2020
Greece,GRC,2022,11.669559,,53.78675,,10412428,Europe,2022,2023,2021,2021
Grenada,GRD,2022,5.741758,,44.097687,,116876,North America,2022,2023,2018,2018
Guinea,GIN,2022,1.9240328,,7.549208,,14055075,Africa,2022,2023,2018,2018
Guinea-Bissau,GNB,2022,1.5853527,,7.073131,,2105479,Africa,2022,2023,2021,2021
Honduras,HND,2022,1.911765,,21.341427,,10463826,North America,2022,2023,2019,2019
Hungary,HUN,2022,15.686832,,47.445442,,9684259,Europe,2022,2023,2021,2021
Iceland,ISL,2022,31.839766,,97.95676,,380322,Europe,2022,2023,2017,2017
India,IND,2022,1.9771403,,8.761667,,1425423157,Asia,2022,2023,2021,2021
Indonesia,IDN,2022,2.9885662,,13.220729,,278830479,Asia,2022,2023,2022,2022
Iran,IRN,2022,5.025574,,24.133598,,89524192,Asia,2022,2023,2022,2022
Ireland,IRL,2022,27.765585,,97.56379,,5109966,Europe,2022,2023,2021,2021
Israel,ISR,2022,11.220998,,73.357544,,9103094,Asia,2022,2023,2021,2021
Italy,ITA,2022,18.424112,,90.185356,,59619058,Europe,2022,2023,2021,2021
Jamaica,JAM,2022,5.9241567,,39.26024,,2839098,North America,2022,2023,2021,2021
Kazakhstan,KAZ,2022,6.7803164,,22.372768,,20034569,Asia,2022,2023,2021,2021
Kenya,KEN,2022,1.3604331,,6.417358,,54252404,Africa,2022,2023,2021,2021
Kiribati,KIR,2022,3.0471387,,10.152453,,130435,Oceania,2022,2023,2019,2019
Kosovo,OWID_KOS,2022,4.600875,,15.477643,,1717900,Europe,2022,2023,2017,2017
Kyrgyzstan,KGZ,2022,3.5546985,,11.1798725,,6955746,Asia,2022,2023,2022,2022
Laos,LAO,2022,2.3601632,,11.704487,,7558961,Asia,2022,2023,2018,2018
Latvia,LVA,2022,14.139772,,64.87336,,1881016,Europe,2022,2023,2021,2021
Lesotho,LSO,2022,1.1403679,,9.387008,,2286067,Africa,2022,2023,2017,2017
Lithuania,LTU,2022,16.812494,,80.00542,,2816872,Europe,2022,2023,2021,2021
Luxembourg,LUX,2022,37.03399,,165.97421,,653267,Europe,2022,2023,2021,2021
Malawi,MWI,2022,0.7415027,,3.8145967,,20568683,Africa,2022,2023,2019,2019
Malaysia,MYS,2022,10.553914,,65.802246,,34695445,Asia,2022,2023,2021,2021
Maldives,MDV,2022,8.475818,,32.391632,,524067,Asia,2022,2023,2019,2019
Mali,MLI,2022,1.7071596,,8.105056,,23072588,Africa,2022,2023,2021,2021
Malta,MLT,2022,24.144358,,96.06305,,528148,Europe,2022,2023,2020,2020
Marshall Islands,MHL,2022,4.3562264,,21.75436,,40058,Oceania,2022,2023,2019,2019
Mauritania,MRT,2022,2.5952482,,11.020873,,4875590,Africa,2022,2023,2019,2019
Mauritius,MUS,2022,6.196184,,28.821106,,1276075,Africa,2022,2023,2017,2017
Mexico,MEX,2022,4.8969784,,31.11031,,128613066,North America,2022,2023,2022,2022
Moldova,MDA,2022,6.264718,,18.954826,,3039946,Europe,2022,2023,2021,2021
Mongolia,MNG,2022,5.193651,,21.314394,,3385971,Asia,2022,2023,2022,2022
Montenegro,MNE,2022,6.2768865,,33.785217,,614603,Europe,2022,2023,2021,2021
Mozambique,MOZ,2022,0.5003949,,3.9630923,,32656190,Africa,2022,2023,2019,2019
Myanmar,MMR,2022,3.00269,,10.88691,,53756739,Asia,2022,2023,2017,2017
Nepal,NPL,2022,3.9688883,,15.058064,,29715383,Asia,2022,2023,2022,2022
Netherlands,NLD,2022,32.33745,,101.45137,,17904367,Europe,2022,2023,2021,2021
Niger,NER,2022,1.2076123,,4.545817,,25311922,Africa,2022,2023,2021,2021
Nigeria,NGA,2022,1.3364742,,6.635329,,223150851,Africa,2022,2023,2018,2018
North Macedonia,MKD,2022,4.596356,,26.934984,,1840196,Europe,2022,2023,2019,2019
Norway,NOR,2022,34.47052,,117.90513,,5456753,Europe,2022,2023,2019,2019
Pakistan,PAK,2022,2.4623537,,8.065796,,243700616,Asia,2022,2023,2018,2018
Panama,PAN,2022,5.759954,,63.780647,,4400715,North America,2022,2023,2021,2021
Paraguay,PRY,2022,4.887329,,34.986534,,6760399,South America,2022,2023,2022,2022
Peru,PER,2022,3.7339869,,23.31119,,33475381,South America,2022,2023,2022,2022
Philippines,PHL,2022,2.4071248,,12.038189,,113964291,Asia,2022,2023,2021,2021
Poland,POL,2022,17.792843,,63.372784,,38385689,Europe,2022,2023,2021,2021
Portugal,PRT,2022,14.429992,,65.39148,,10417030,Europe,2022,2023,2021,2021
Qatar,QAT,2022,29.461739,,167.60269,,2892419,Asia,2022,2023,2017,2017
Romania,ROU,2022,8.942017,,46.783592,,19166726,Europe,2022,2023,2021,2021
Russia,RUS,2022,8.786145,,39.948223,,145579843,Europe,2022,2023,2020,2020
Sao Tome and Principe,STP,2022,1.8512988,,9.9522295,,226265,Africa,2022,2023,2017,2017
Senegal,SEN,2022,2.151998,,10.409077,,17651046,Africa,2022,2023,2021,2021
Serbia,SRB,2022,7.8257318,,32.4196,,6791172,Europe,2022,2023,2021,2021
Seychelles,SYC,2022,8.288154,,38.49428,,125480,Africa,2022,2023,2018,2018
Sierra Leone,SLE,2022,1.593574,,6.869121,,8276759,Africa,2022,2023,2018,2018
Slovakia,SVK,2022,11.99961,,38.340294,,5473145,Europe,2022,2023,2021,2021
Slovenia,SVN,2022,25.560953,,74.99326,,2115184,Europe,2022,2023,2021,2021
South Korea,KOR,2022,22.59569,,103.401695,,51782473,Asia,2022,2023,2021,2021
Spain,ESP,2022,16.536488,,86.82085,,47828339,Europe,2022,2023,2021,2021
Sri Lanka,LKA,2022,3.5099654,,16.4336,,22834913,Asia,2022,2023,2019,2019
Suriname,SUR,2022,5.2075205,,30.639736,,623128,South America,2022,2023,2022,2022
Sweden,SWE,2022,24.716623,,98.045006,,10487289,Europe,2022,2023,2021,2021
Switzerland,CHE,2022,32.32004,,137.61266,,8792128,Europe,2022,2023,2020,2020
Syria,SYR,2022,1.5837464,,5.5290885,,22462118,Asia,2022,2023,2022,2022
Taiwan,TWN,2022,22.283592,,85.254295,,23420051,Asia,2022,2023,2021,2021
Tanzania,TZA,2022,1.1733012,,5.988662,,64711777,Africa,2022,2023,2018,2018
