,Forex Reserves Including Gold (data in millions US$),Date_x,Change / /,Forex Reserves Excluding Gold (data in millions US$),Date.1,Change / /.1,Ref,Countries,Unnamed: 0,Population,% of world,Date_y,Source (official or from the United Nations),Unnamed: 6,Location,Year,GDP_per_capita_USD,Country,Region,Subregion,Forex_Reserves_per_person_USD
0,3225817,1 Mar 2024,28957.0,3077173,1 Mar 2024,415,[2],China,[b],1409670000,,31 Dec 2023,Official estimate[5],[c],China,2024,13155.89,China,Asia,Eastern Asia,2288.349046230678
1,1290606,31 Mar 2024,9122.0,1230377,31 Mar 2024,4598,[3],Japan,11,123990000,,1 Feb 2024,Official estimate[15],,Japan,2024,34554.92,Japan,Asia,Eastern Asia,10408.952334865715
2,868632,1 Mar 2024,1127.0,800164,1 Mar 2024,198,[4],Switzerland,99,8960817,,31 Dec 2023,National quarterly estimate[103],,Switzerland,2024,110246.11,Switzerland,Europe,Western Europe,96936.69673200557
3,648562,5 Apr 2024,2980.0,594004,29 Mar 2024,673,[5],India,[b],1392329000,,1 Jul 2023,Official projection[6],[d],India,2024,2847.56,India,Asia,Southern Asia,465.8108823417454
4,598300,5 Apr 2024,9900.0,438653,22 Mar 2024,541,[6],Russia,9,146150789,,1 Jan 2024,Official estimate[13],[g],Russia,2024,13324.12,Russia,Europe,Eastern Europe,4093.7172087384356
5,569420,5 Mar 2024,118.0,564420,5 Mar 2024,17,[7],Taiwan,,23420442,,31 Dec 2023,Official estimate[61],[n],Taiwan,2024,34046.2,Taiwan,Asia,Eastern Asia,24312.948491749215
6,431743,7 Mar 2024,7223.0,430799,7 Mar 2024,,[8],Saudi Arabia,46,32175224,,10 May 2022,2022 census result[50],,Saudi Arabia,2024,33144.34,Saudi Arabia,Asia,Western Asia,13418.492440021553
7,423092,1 Mar 2024,2462.0,422956,1 Mar 2024,37,[9],Hong Kong,,7498100,,30 Jun 2023,National estimate[106],,Hong Kong,2024,54078.37,Hong Kong,Asia,Eastern Asia,56426.561395553545
8,415759,6 Mar 2024,4389.0,415754,6 Mar 2024,,[10],South Korea,29,51303688,,29 Feb 2024,Monthly national estimate[33],,South Korea,2024,34653.14,South Korea,Asia,Eastern Asia,8103.881342799371
9,415759,6 Mar 2024,4389.0,415754,6 Mar 2024,,[10],South Korea,29,51303688,,29 Feb 2024,Monthly national estimate[33],,South Korea,2024,34653.14,South Korea,Asia,Eastern Asia,8103.881342799371
