Entity,Code,Year,Median (2017 prices) - Income or consumption consolidated,1039538-annotations,"GDP per capita, PPP (constant 2017 international $)",Population (historical),World regions according to OWID,time,time,time,time
Albania,ALB,2022,12.064707,,13278.435,2827562,Europe,2022,2023,2020,2020
Angola,AGO,2022,3.4205022,,6878.59,35634984,Africa,2022,2023,2018,2018
Armenia,ARM,2022,6.7156725,,16057.007,2880829,Asia,2022,2023,2022,2022
Australia,AUS,2022,53.050495,,49085.934,26200929,Oceania,2022,2023,2018,2018
Austria,AUT,2022,58.25852,,53817.305,9064633,Europe,2022,2023,2021,2021
Bangladesh,BGD,2022,4.7816916,,6263.0044,169384838,Asia,2022,2023,2022,2022
Belarus,BLR,2022,17.238052,,19239.553,9173190,Europe,2022,2023,2020,2020
Belgium,BEL,2022,54.49564,,52174.906,11641759,Europe,2022,2023,2021,2021
Benin,BEN,2022,4.0014644,,3321.552,13759458,Africa,2022,2023,2021,2021
Bhutan,BTN,2022,13.86247,,11595.684,780868,Asia,2022,2023,2021,2022
Bolivia,BOL,2022,14.911999,,8052.6,12077101,South America,2022,2023,2021,2021
Brazil,BRA,2022,12.991237,,15093.465,210306358,South America,2022,2023,2022,2022
Bulgaria,BGR,2022,23.402508,,24386.18,6825817,Europe,2022,2023,2021,2021
Burkina Faso,BFA,2022,3.1207023,,2176.0933,22508995,Africa,2022,2023,2021,2021
Burundi,BDI,2022,1.795875,,711.3553,13321056,Africa,2022,2023,2020,2020
Cameroon,CMR,2022,3.9085712,,3689.359,27632723,Africa,2022,2023,2021,2021
Canada,CAN,2022,56.303295,,49169.12,38821209,North America,2022,2023,2019,2019
Central African Republic,CAF,2022,1.5665926,,838.19293,5097987,Africa,2022,2023,2021,2021
Chad,TCD,2022,3.106669,,1412.6708,18455270,Africa,2022,2023,2022,2022
Chile,CHL,2022,19.984573,,25886.121,19552984,South America,2022,2023,2022,2022
China,CHN,2022,12.008236,,17657.656,1425179509,Asia,2022,2023,2021,2021
Colombia,COL,2022,9.6840725,,15616.752,51737891,South America,2022,2023,2022,2022
Costa Rica,CRI,2022,15.86023,,22070.922,5081715,North America,2022,2023,2022,2022
Cote d'Ivoire,CIV,2022,4.336595,,5316.464,30394949,Africa,2022,2023,2021,2021
Croatia,HRV,2022,28.754229,,32060.504,3906988,Europe,2022,2023,2021,2021
