,Year,Population,Country,GDP per capita (OWiD),Government Expenditure (IMF & Wiki),Region
1028712,2003,22645136.0,Afghanistan,842.8052,14.06612913,Asia
1028713,2004,23553554.0,Afghanistan,869.03925,15.6573216,Asia
1028714,2005,24411196.0,Afghanistan,964.4081,17.20629674,Asia
1028715,2006,25442946.0,Afghanistan,1057.0966,21.53552863,Asia
1028716,2007,25903306.0,Afghanistan,1259.9967,21.99190354,Asia
1028717,2008,26427204.0,Afghanistan,1319.6074,21.54948714,Asia
1028718,2009,27385310.0,Afghanistan,1557.3207,21.86447458,Asia
1028719,2010,28189672.0,Afghanistan,1627.6716,21.11169652,Asia
1028720,2011,29249156.0,Afghanistan,1792.0,22.9868095,Asia
1028973,1997,3253721.0,Albania,3526.9856,37.17889666,Europe
1028974,1998,3232185.0,Albania,3873.373,43.26433453,Europe
1028975,1999,3208265.0,Albania,4432.0425,42.38211984,Europe
1028976,2000,3182027.0,Albania,4808.4795,38.47335767,Europe
1028977,2001,3153615.0,Albania,5285.809,36.26489263,Europe
1028978,2002,3123554.0,Albania,5608.9624,34.89083729,Europe
1028979,2003,3092993.0,Albania,6004.645,32.99615023,Europe
1028980,2004,3062629.0,Albania,6419.8706,33.19105055,Europe
1028981,2005,3032636.0,Albania,6858.4673,31.49977819,Europe
1028982,2006,3003391.0,Albania,7347.33,32.18591059,Europe
1028983,2007,2976089.0,Albania,7866.1577,31.92286627,Europe
1028984,2008,2951690.0,Albania,8522.13,34.70968038,Europe
1028985,2009,2930553.0,Albania,8859.472,36.54311026,Europe
1028986,2010,2913402.0,Albania,9222.973,33.38815055,Europe
1028987,2011,2900660.0,Albania,9484.0,31.65025311,Europe
1029233,1990,25518074.0,Algeria,4697.0,27.33405483,Africa
1029234,1991,26133906.0,Algeria,4708.232,29.60451532,Africa
1029235,1992,26748302.0,Algeria,4850.223,30.87610904,Africa
1029236,1993,27354326.0,Algeria,4816.924,35.09082779,Africa
1029237,1994,27937006.0,Algeria,4856.9854,33.81625656,Africa
1029238,1995,28478024.0,Algeria,5142.384,32.48330416,Africa
1029239,1996,28984640.0,Algeria,5451.6343,31.65634241,Africa
1029240,1997,29476030.0,Algeria,5638.48,34.33483203,Africa
1029241,1998,29924664.0,Algeria,6069.7773,34.85374462,Africa
1029242,1999,30346086.0,Algeria,6421.5083,35.65793028,Africa
1029243,2000,30774624.0,Algeria,6834.5537,32.50571117,Africa
1029244,2001,31200984.0,Algeria,7218.2456,34.74164321,Africa
1029245,2002,31624700.0,Algeria,7814.8384,37.31860794,Africa
1029246,2003,32055882.0,Algeria,8590.178,34.37208461,Africa
1029247,2004,32510184.0,Algeria,9182.294,32.15125791,Africa
1029248,2005,32956690.0,Algeria,9969.623,28.10458873,Africa
1029249,2006,33435082.0,Algeria,10385.779,29.64703918,Africa
1029250,2007,33983836.0,Algeria,10974.742,34.15584302,Africa
1029251,2008,34569592.0,Algeria,11475.002,38.39140281,Africa
1029252,2009,35196040.0,Algeria,11907.021,42.55493453,Africa
1029253,2010,35856348.0,Algeria,12587.744,37.19326647,Africa
1029254,2011,36543548.0,Algeria,13204.0,40.68145846,Africa
1029255,2012,37260568.0,Algeria,13392.944,37.85485924141046,Africa
1029256,2013,38000628.0,Algeria,13508.265,38.1981363299613,Africa
1029257,2014,38760168.0,Algeria,13760.384,38.4470392645879,Africa
1029258,2015,39543148.0,Algeria,14007.894,38.60263378058427,Africa
1029259,2016,40339328.0,Algeria,14198.272,38.66491987795044,Africa
1029260,2017,41136548.0,Algeria,14149.915,38.633684394082735,Africa
1029261,2018,41927008.0,Algeria,14083.772,38.50909801468538,Africa
1029262,2019,42705372.0,Algeria,14000.279,38.291203216657806,Africa
1029263,2020,43451668.0,Algeria,13086.293,37.98,Africa
1029956,2000,16394067.0,Angola,2013.6362,55.04505882,Africa
1029957,2001,16941584.0,Angola,2162.485,46.9185658,Africa
1029958,2002,17516140.0,Angola,2522.6719,41.0441097,Africa
1029959,2003,18124346.0,Angola,2711.9282,44.98059152,Africa
1029960,2004,18771128.0,Angola,3064.2986,38.04106483,Africa
1029961,2005,19450962.0,Angola,3708.7705,36.71002702,Africa
1029962,2006,20162338.0,Angola,4592.3374,39.94863809,Africa
1029963,2007,20909692.0,Angola,5773.5483,42.32446079,Africa
1029964,2008,21691524.0,Angola,6743.748,57.33614396,Africa
1029965,2009,22507674.0,Angola,7087.604,43.63790943,Africa
1029966,2010,23364196.0,Angola,7520.6655,39.11530214,Africa
1029967,2011,24259120.0,Angola,8016.0,39.55557754,Africa
1030690,1880,2456365.0,Argentina,2557.0,10.18703,Americas
1030691,1881,2534824.0,Argentina,2541.0,10.608,Americas
1030692,1882,2615789.0,Argentina,3108.0,12.98165,Americas
1030693,1883,2699340.0,Argentina,3373.0,12.59537,Americas
1030694,1884,2785560.0,Argentina,3486.0,12.52486,Americas
1030695,1885,2874534.0,Argentina,3904.0,11.0642,Americas
1030696,1886,2966350.0,Argentina,3771.0,11.82265,Americas
1030697,1887,3061098.0,Argentina,3841.0,9.36557,Americas
1030698,1888,3158873.0,Argentina,4219.0,9.09684,Americas
1030699,1889,3260729.0,Argentina,4288.0,15.48328,Americas
1030700,1890,3366831.0,Argentina,3851.0,10.35413,Americas
1030701,1891,3477345.0,Argentina,3631.0,14.39886,Americas
1030702,1892,3592446.0,Argentina,4251.0,10.71358,Americas
1030703,1893,3712318.0,Argentina,4409.0,9.64148,Americas
1030704,1894,3836189.0,Argentina,4968.0,10.10343,Americas
1030705,1895,3964194.0,Argentina,5384.0,9.74488,Americas
1030706,1896,4096469.0,Argentina,5716.0,10.75656,Americas
1030707,1897,4233159.0,Argentina,4500.0,11.6383,Americas
1030708,1898,4374409.0,Argentina,4741.0,19.52999,Americas
1030709,1899,4524892.0,Argentina,5412.0,11.46543,Americas
1030710,1900,4685089.0,Argentina,4583.0,11.49677,Americas
1030711,1901,4855502.0,Argentina,4591.0,11.40432,Americas
1030712,1902,5036658.0,Argentina,4331.0,12.62946,Americas
1030713,1903,5229108.0,Argentina,4769.0,11.0266,Americas
1030714,1904,5428911.0,Argentina,5086.0,10.09434,Americas
1030715,1905,5636349.0,Argentina,5545.0,12.44833,Americas
1030716,1906,5851713.0,Argentina,5608.0,9.3052,Americas
1030717,1907,6075305.0,Argentina,5514.0,9.29502,Americas
1030718,1908,6307441.0,Argentina,5829.0,8.21167,Americas
1030719,1909,6532092.0,Argentina,5896.0,10.89784,Americas
1030720,1910,6748544.0,Argentina,6092.0,10.32292,Americas
1030721,1911,6956048.0,Argentina,5971.0,10.53783,Americas
1030722,1912,7153812.0,Argentina,6223.0,9.05101,Americas
1030723,1913,7341005.0,Argentina,6052.0,8.9581,Americas
1030724,1914,7533097.0,Argentina,5263.0,10.39838,Americas
1030725,1915,7730214.0,Argentina,5171.0,9.01136,Americas
1030726,1916,7932490.0,Argentina,4927.0,8.17235,Americas
1030727,1917,8140058.0,Argentina,4447.0,7.79627,Americas
1030728,1918,8354021.0,Argentina,5177.0,6.19455,Americas
1030729,1919,8579951.0,Argentina,5271.0,6.13742,Americas
1030730,1920,8818354.0,Argentina,5536.0,5.68471,Americas
1030731,1921,9069751.0,Argentina,5533.0,7.42431,Americas
1030732,1922,9334686.0,Argentina,5796.0,8.48253,Americas
1030733,1923,9613722.0,Argentina,6213.0,7.76156,Americas
1030734,1924,9901098.0,Argentina,6464.0,7.34608,Americas
1030735,1925,10197065.0,Argentina,6247.0,7.80826,Americas
1030736,1926,10501879.0,Argentina,6366.0,8.45314,Americas
1030737,1927,10815805.0,Argentina,6625.0,11.02485,Americas
1030738,1928,11139114.0,Argentina,6840.0,9.40674,Americas
1030739,1929,11443159.0,Argentina,6961.0,9.78045,Americas
1030740,1930,11726853.0,Argentina,6503.0,11.39895,Americas
1030741,1931,11989069.0,Argentina,5917.0,12.31859,Americas
1030742,1932,12228636.0,Argentina,5614.0,12.51339,Americas
1030743,1933,12444339.0,Argentina,5772.0,11.75764,Americas
1030744,1934,12663847.0,Argentina,6129.0,10.70685,Americas
1030745,1935,12887227.0,Argentina,6296.0,10.12881,Americas
1030746,1936,13114548.0,Argentina,6236.0,9.96151,Americas
1030747,1937,13345878.0,Argentina,6575.0,9.85794,Americas
1030748,1938,13581288.0,Argentina,6491.0,10.51124,Americas
1030749,1939,13825464.0,Argentina,6612.0,11.4533,Americas
1030750,1940,14078649.0,Argentina,6633.0,10.43441,Americas
1030751,1941,14341093.0,Argentina,6861.0,10.06561,Americas
1030752,1942,14613051.0,Argentina,6829.0,9.79165,Americas
1030753,1943,14894786.0,Argentina,6666.0,10.80037,Americas
1030754,1944,15181952.0,Argentina,7299.0,12.43508,Americas
1030755,1945,15474655.0,Argentina,6943.0,12.80277,Americas
1030756,1946,15773001.0,Argentina,7436.0,10.86969,Americas
1030757,1947,16077098.0,Argentina,8112.0,10.137616,Americas
1030758,1948,16387059.0,Argentina,8372.0,13.606398,Americas
1030759,1949,16700599.0,Argentina,8045.0,12.560195,Americas
1030760,1950,17017748.0,Argentina,7949.0,11.943038,Americas
1030761,1951,17354614.0,Argentina,8086.0,12.669719,Americas
1030762,1952,17693856.0,Argentina,7519.0,12.689189,Americas
1030763,1953,18032748.0,Argentina,7769.0,11.78423,Americas
1030764,1954,18369248.0,Argentina,7938.0,11.793253,Americas
1030765,1955,18700684.0,Argentina,8348.0,11.033012,Americas
1030766,1956,19031200.0,Argentina,8424.0,10.796032,Americas
1030767,1957,19363792.0,Argentina,8705.0,9.09198,Americas
1030768,1958,19695358.0,Argentina,9083.0,13.902325,Americas
1030769,1959,20024528.0,Argentina,8354.0,14.156982,Americas
1030770,1960,20349748.0,Argentina,8861.0,11.812224,Americas
1030771,1961,20680658.0,Argentina,9344.0,12.707059,Americas
1030772,1962,21020364.0,Argentina,9049.0,11.901185,Americas
1030773,1963,21364018.0,Argentina,8695.0,11.787588,Americas
1030774,1964,21708488.0,Argentina,9446.0,12.595531,Americas
1030775,1965,22053662.0,Argentina,10155.0,12.117183,Americas
1030776,1966,22403120.0,Argentina,10076.0,12.590199,Americas
1030777,1967,22757014.0,Argentina,10200.0,13.340315,Americas
1030778,1968,23112976.0,Argentina,10485.0,13.193254,Americas
1030779,1969,23472030.0,Argentina,11217.0,15.1355,Americas
1030780,1970,23842804.0,Argentina,11639.0,15.0816,Americas
1030781,1971,24223380.0,Argentina,12003.0,15.33861,Americas
1030782,1972,24612798.0,Argentina,12170.0,15.4068,Americas
1030783,1973,25020592.0,Argentina,12691.0,16.65404,Americas
1030784,1974,25449752.0,Argentina,13284.0,20.1728,Americas
1030785,1975,25875562.0,Argentina,12946.0,17.72757,Americas
1030786,1976,26290258.0,Argentina,12696.0,14.19339,Americas
1030787,1977,26713780.0,Argentina,13236.0,13.506911,Americas
1030788,1978,27146124.0,Argentina,12444.0,16.39963,Americas
1030789,1979,27584138.0,Argentina,13114.0,16.12898,Americas
1030790,1980,28024808.0,Argentina,13080.0,16.58057,Americas
1030791,1981,28471284.0,Argentina,12125.0,19.90651,Americas
1030792,1982,28922768.0,Argentina,11550.0,20.37538,Americas
1030793,1983,29377144.0,Argentina,11775.0,16.44152,Americas
1030794,1984,29832200.0,Argentina,11837.0,15.1568,Americas
1030795,1985,30287120.0,Argentina,10895.0,17.08956,Americas
1030796,1986,30748332.0,Argentina,11515.0,15.55879,Americas
1030797,1987,31216450.0,Argentina,11633.0,15.27152,Americas
1030798,1988,31690790.0,Argentina,11244.0,13.264507,Americas
1030799,1989,32165770.0,Argentina,10393.0,11.944064,Americas
