Year,Inflation,GDP-UK £ billion nominal,Population-UK million,Public debt (% of GDP)
1692,,0.0588,9.1,5.61
1693,0.4,0.0591,9.1,9.98
1694,0.23,0.0593,9.1,10.29
1695,0.23,0.0595,9.1,14.12
1696,0.22,0.0597,9.1,17.76
1697,0.22,0.0599,9.1,27.88
1698,0.22,0.0601,9.1,28.79
1699,0.39,0.0604,9.1,25.5
1700,0.22,0.0606,9.1,23.43
1701,59.89,0.08437,9.129,16.71
1702,-0.16,0.08206,9.158,17.18
1703,-0.97,0.076,9.188,17.89
1704,2,0.092,9.217,14.57
1705,-1.43,0.086,9.247,15.12
1706,-2.13,0.071,9.276,18.31
1707,-2.5,0.078,9.306,18.59
1708,3.82,0.086,9.336,17.67
1709,7.55,0.081,9.366,23.58
1710,2.91,0.076,9.396,28.16
1711,-7.71,0.077,9.426,29.09
1712,-2.51,0.075,9.456,46.53
1713,2.95,0.074,9.487,46.89
1714,0.81,0.082,9.517,44.15
1715,-3.29,0.077,9.547,48.57
1716,0.11,0.08,9.578,47.38
1717,1.86,0.086,9.609,45.7
1718,-1,0.09,9.64,44.11
1719,-1.57,0.087,9.67,47.82
1720,3.97,0.096,9.701,56.25
1721,-4.43,0.088,9.733,62.39
1722,-2.21,0.087,9.764,60.57
1723,2.41,0.087,9.795,61.61
1724,-0.15,0.086,9.826,62.56
1725,2.04,0.09,9.858,58.56
1726,1.98,0.089,9.889,59.44
1727,-1.64,0.087,9.921,60.92
1728,6.14,0.095,9.953,55.47
1729,-1.81,0.088,9.985,59.2
1730,-6.83,0.084,10.017,61.19
1731,-0.8,0.082,10.049,63.05
1732,-2.99,0.085,10.081,58.94
1733,0.14,0.087,10.114,57.47
1734,0.36,0.087,10.146,56.44
1735,2.37,0.087,10.178,56.67
1736,-1.69,0.092,10.211,54.02
1737,-1.17,0.086,10.244,56.4
1738,-0.7,0.087,10.277,54.6
1739,0.67,0.087,10.31,53.91
1740,7.43,0.092,10.343,51.52
1741,1.43,0.096,10.393,50.83
1742,-2.3,0.096,10.444,53.44
1743,-1.82,0.092,10.494,58.15
1744,-0.77,0.09,10.545,63.44
1745,-2.59,0.089,10.597,67.53
1746,3.6,0.095,10.648,68.32
1747,-1.4,0.098,10.7,70.82
1748,1.07,0.098,10.752,77.65
1749,1.61,0.099,10.805,78.59
1750,-0.44,0.1,10.857,78
1751,0.17,0.098,10.91,79.69
1752,3.24,0.106,10.963,72.55
1753,-1.83,0.105,11.016,71.43
1754,-1.01,0.101,11.07,71.49
1755,-2.04,0.102,11.124,71.08
1756,4.63,0.105,11.184,71.05
1757,7.57,0.119,11.245,65.38
1758,-0.55,0.12,11.306,68.42
1759,-6.59,0.114,11.368,80.09
1760,0.6,0.118,11.43,86.19
1761,-2.29,0.12,11.492,95.17
1762,1.95,0.119,11.555,106.39
1763,5.37,0.125,11.617,106.08
1764,0.84,0.126,11.681,106.51
1765,0.81,0.126,11.744,106.03
1766,1.05,0.129,11.808,103.33
1767,3.19,0.134,11.872,99.93
1768,-3.16,0.131,11.937,101.22
1769,-4.12,0.133,12.002,97.97
1770,0.48,0.13,12.067,100.46
1771,5.06,0.139,12.133,92.73
1772,3.27,0.14,12.199,91.93
1773,-0.35,0.142,12.265,90.77
1774,1.52,0.141,12.332,90.57
1775,1.06,0.147,12.399,86.6
1776,-1.88,0.149,12.467,88.05
1777,2.47,0.157,12.534,87.01
1778,0.06,0.156,12.603,91.73
1779,-2.93,0.151,12.671,101.59
1780,-0.6,0.157,12.74,106.5
1781,13.08,0.182,12.809,104.62
1782,0.45,0.181,12.916,118.4
1783,-2.25,0.176,13.023,131.7
1784,-3.8,0.17,13.131,142.88
1785,0.7,0.17,13.24,144.41
1786,5.31,0.182,13.349,135.27
1787,-0.53,0.178,13.46,138.09
1788,-3.15,0.172,13.572,142.5
1789,-1.66,0.173,13.684,141.21
1790,2.82,0.191,13.798,127.75
1791,0.62,0.193,13.912,126.01
1792,5.82,0.212,14.134,113.96
1793,-0.74,0.207,14.36,117.34
1794,0.82,0.202,14.589,123.56
1795,10.92,0.246,14.822,108.7
1796,3.08,0.258,15.059,120.31
1797,1.11,0.259,15.299,138.69
1798,4.45,0.273,15.544,143.3
1799,7.99,0.302,15.792,141.26
1800,9.36,0.345,16.044,127.93
1801,5.48,0.367,16.3,124.28
1802,-14.52,0.318,16.508,156.79
1803,0.83,0.314,16.718,164.46
1804,6.46,0.334,16.931,156.83
1805,3.21,0.365,17.147,147.84
1806,1.48,0.369,17.365,152.95
1807,0.51,0.395,17.586,147.62
1808,2.37,0.386,17.811,153.19
1809,6.18,0.422,18.037,141.94
1810,3.74,0.465,18.267,130.62
1811,-3.27,0.445,18.5,136.99
1812,5.69,0.452,18.736,138.5
1813,2.09,0.486,18.975,134.22
1814,-2.11,0.465,19.217,156.02
1815,-7.66,0.479,19.462,155.51
1816,-5.83,0.426,19.71,182.7
1817,2.07,0.442,19.962,170.84
1818,3.94,0.459,20.217,183.73
1819,-4.9,0.429,20.474,196.81
1820,-6.72,0.435,20.736,193.13
1821,-5.84,0.417,21,201.03
1822,-6.72,0.397,21.291,209.35
1823,1.59,0.415,21.586,201.47
1824,1.99,0.446,21.886,185.78
1825,8.29,0.493,22.189,166.37
1826,-7.04,0.432,22.497,187.73
1827,-3.53,0.45,22.809,180
1828,-0.31,0.45,23.125,179.2
1829,-4.18,0.435,23.445,184.21
1830,-0.8,measuringworth.com/ukgdp,23.77,176.98
1831,-4.61,measuringworth.com/ukgdp,24.1,177.07
1832,-0.75,measuringworth.com/ukgdp,24.366,177.02
1833,-3.15,measuringworth.com/ukgdp,24.636,180.41
1834,2.75,measuringworth.com/ukgdp,24.908,169.48
1835,-0.41,measuringworth.com/ukgdp,25.183,159.12
1836,5.79,measuringworth.com/ukgdp,25.462,149.7
1837,-1.8,measuringworth.com/ukgdp,25.743,153.87
1838,0.41,measuringworth.com/ukgdp,26.028,145.82
