Country,Code,Period,Year,GDP Per Person,Annual Average Working Hours Adjusted Composite Series,Real GDP of England at market prices,Population (England),GDP per hour per person,Real GDP (£B),Region,Real GDP of England at market prices (20-year moving average),GDP Per Person (20-year moving average),"Population (England, 20-year moving average)",GDP per hour per person (20-year moving average),Year (20-year moving average)
United Kingdom,GBR,1200s,1270,806,2342.16,3518000000.0,4365000,0.34,3.5,Europe,,,,,
United Kingdom,GBR,1300s,1271,796,2340.68,3481000000.0,4372000,0.34,3.5,Europe,,,,,
United Kingdom,GBR,1400s,1272,825,2339.24,3612000000.0,4379000,0.35,3.6,Europe,,,,,
United Kingdom,GBR,1500s,1273,777,2337.86,3407000000.0,4385000,0.33,3.4,Europe,,,,,
United Kingdom,GBR,1600s,1274,773,2336.53,3394000000.0,4392000,0.33,3.4,Europe,,,,,
United Kingdom,GBR,1700s,1275,882,2335.25,3880000000.0,4399000,0.38,3.9,Europe,,,,,
United Kingdom,GBR,1800 to 1825,1276,775,2334.02,3414000000.0,4406000,0.33,3.4,Europe,,,,,
United Kingdom,GBR,1825 to 1850,1277,826,2332.85,3646000000.0,4413000,0.35,3.6,Europe,,,,,
United Kingdom,GBR,1850 to 1875,1278,855,2331.72,3780000000.0,4420000,0.37,3.8,Europe,,,,,
United Kingdom,GBR,1875 to 1900,1279,709,2330.65,3137000000.0,4427000,0.30,3.1,Europe,,,,,
United Kingdom,GBR,1900 to 1925,1280,715,2317.8,3187000000.0,4455000,0.31,3.2,Europe,,,,,
United Kingdom,GBR,1925 to 1950,1281,756,2317.55,3390000000.0,4484000,0.33,3.4,Europe,,,,,
United Kingdom,GBR,1950 to 1975,1282,729,2318.06,3290000000.0,4513000,0.31,3.3,Europe,,,,,
United Kingdom,GBR,1975 to 2000,1283,689,2319.34,3130000000.0,4542000,0.30,3.1,Europe,,,,,
United Kingdom,GBR,2000 to 2015,1284,708,2321.38,3239000000.0,4572000,0.31,3.2,Europe,,,,,
United Kingdom,GBR,,1285,714,2324.2,3283000000.0,4601000,0.31,3.3,Europe,,,,,
United Kingdom,GBR,,1286,699,2327.78,3238000000.0,4631000,0.30,3.2,Europe,,,,,
